32 00
176 0100000
192 010000100
58 0100001010
162 0100001011
10 01000011
183 0100010
13 01000110
161 01000111
185 01001
174 0101000
33 010100100
44 010100101
166 01010011
165 01010100
53 0101010100000
210 0101010100001
48 010101010001
57 0101010100100
204 0101010100101
217 010101010011000
152 0101010100110010
59 01010101001100110
39 010101010011001110
91 010101010011001111
224 010101010011010
35 0101010100110110
230 01010101001101110
227 01010101001101111
56 01010101001110
128 010101010011110
126 0101010100111110
236 01010101001111110000
232 01010101001111110001
141 01010101001111110010
133 01010101001111110011
229 010101010011111101
93 01010101001111111
41 0101010101
184 010101011
180 0101011
199 01011
167 011
202 1000
168 10010
46 1001100
207 1001101000
42 10011010010
206 10011010011
45 100110101
140 10011011
173 100111
194 101000
182 10100100
186 10100101
181 1010011
179 101010
163 101011
177 10110
200 10111
178 11000000
203 110000010
49 110000011000
50 1100000110010
95 1100000110011
51 1100000110100
233 110000011010100000
231 110000011010100001
226 11000001101010001
92 1100000110101001
160 110000011010101
54 11000001101011
205 1100000110110
153 1100000110111000
228 110000011011100100
225 110000011011100101
124 110000011011100110
37 110000011011100111
61 110000011011101
55 11000001101111
209 1100000111
201 1100001
175 110001
170 11001
196 1101
193 111000
34 111001000
40 11100100100
164 11100100101
159 11100100110
208 111001001110
155 11100100111100
94 111001001111010
251 1110010011110110
125 1110010011110111000
123 1110010011110111001
43 1110010011110111010
101 11100100111101110110
36 11100100111101110111
216 11100100111101111
52 11100100111110
47 11100100111111
171 11100101
172 1110011
198 11101
197 11110
169 111110
195 111111
